age;know
33;2
58;3
69;2
22;2
62;2
62;2
31;2
74;1
46;3
40;2
42;3
38;3
26;3
41;2
45;2
57;3
20;2
65;3
44;2
18;3
45;3
62;3
38;3
56;3
61;3
40;2
43;3
19;3
58;3
62;3
32;3
64;2
28;3
58;3
44;3
30;3
21;3
27;2
63;3
43;3
60;3
35;3
46;3
55;3
55;1
25;2
18;3
40;2
20;4
43;4
56;2
25;1
28;3
55;1
46;3
56;2
23;4
59;4
48;3
30;4
19;2
25;3
26;4
59;4
64;2
25;2
57;1
40;2
45;3
24;2
61;3
39;3
22;2
40;3
71;3
30;3
51;3
27;3
31;3
52;3
70;1
55;1
57;4
39;2
78;2
30;3
56;2
37;3
24;3
47;3
37;3
59;3
42;3
61;1
56;3
58;3
19;4
36;3
57;4
43;3
52;3
68;3
24;2
35;4
65;3
16; 
28;3
49;3
52;3
62;1
46;2
55;1
31;3
68;3
44;3
54;3
63;3
28;2
47;3
35;3
44;3
70;3
28;3
23;4
23;3
44;2
75;2
62;2
70;2
70;2
21;2
50;3
22;2
40;2
18;3
35;3
25;3
53;2
75;3
28;9
53;3
70;1
27;3
30;3
19;4
75;3
48;3
24;4
72;3
34;3
48;3
37;3
63;3
24;3
55;3
69;2
53;3
65;3
40;4
42;3
22;3
38;2
30;3
65;3
78;3
38;2
17; 
45;3
20;3
45;3
62;4
28;4
31;2
82;3
36;3
52;3
74;4
19;2
34;3
76;3
47;3
49;2
73;3
19;3
35;2
35;3
44;1
24;2
35;2
42;2
55;2
60;1
66;2
48;3
74;3
54;3
24;3
32;3
22;4
24;4
26;3
38;2
32;3
82;2
74;3
19;4
60;2
37;3
18;4
42;3
35;9
53;3
69;3
28;3
32;3
49;2
57;3
18;3
31;3
42;2
48;2
33;9
26;9
81;9
76;2
28;2
16; 
53;3
23;2
36;2
69;3
56;3
33;4
19;9
60;2
41;3
35;1
42;3
50;2
24;9
60;3
52;3
57;2
56;4
50;3
19;3
26;3
38;4
21;3
61;3
28;4
54;3
17; 
64;3
17; 
42;4
18;4
16; 
32;9
17; 
16; 
30;3
26;4
53;3
23;3
59;3
32;3
24;3
56;3
55;3
31;3
55;4
40;3
50;3
79;3
73;3
44;3
54;4
31;3
78;4
53;3
77;4
34;3
35;3
24;4
23;3
42;3
20;4
60;4
41;3
31;3
46;3
56;4
38;3
52;4
61;3
16; 
57;2
47;4
60;2
60;2
40;9
29;2
48;2
30;2
37;3
16; 
24;2
28;3
24;3
23;9
28;4
68;3
27;9
76;4
29;9
78;9
51;4
48;4
53;3
76;3
26;2
47;1
24;3
28;3
81;3
16; 
78;1
35;3
50;3
19;3
22;2
62;3
28;4
29;3
48;4
43;2
51;3
57;3
58;3
51;2
57;2
65;3
42;3
27;3
26;3
24;3
21;3
19;2
35;2
32;2
43;2
44;2
22;2
29;2
59;2
22;4
37;4
26;2
25;4
59;4
22;4
38;4
50;4
57;4
52;4
56;2
18;3
25;2
74;3
37;3
49;2
30;3
28;4
65;3
54;3
40;3
46;3
78;3
47;1
24;2
26;2
50;2
35;2
80;2
67;2
63;2
23;3
25;2
43;3
72;2
29;2
45;2
17; 
59;2
56;3
17; 
36;2
44;2
27;3
26;2
50;9
73;2
55;2
51;2
30;2
60;2
36;2
61;2
62;2
20;3
44;2
40;2
61;2
63;3
19;2
35;3
52;2
60;2
47;2
36;2
35;2
40;2
24;2
46;4
66;2
30;4
67;1
25;4
50;4
85;3
17; 
50;3
27;4
45;3
68;3
70;4
77;3
65;3
41;3
45;3
23;3
19;3
30;4
45;3
41;3
39;2
26;3
57;2
77;3
53;2
39;3
51;4
17; 
18;3
28;3
48;3
43;4
44;2
60;2
39;2
24;2
79;2
26;3
27;3
62;9
48;2
40;3
22;2
31;3
50;4
66;4
44;3
33;4
66;9
19;3
26;2
23;3
57;3
42;2
54;3
65;3
19;9
29;2
53;2
36;2
41;2
63;2
17; 
52;2
57;2
67;1
49;1
25;1
58;1
20;1
33;1
45;1
41;1
